iter	Passed	Remaining
0	0	871
1	1	773
2	2	730
3	2	695
4	3	674
5	3	662
6	4	650
7	5	647
8	5	646
9	6	640
10	7	638
11	7	636
12	8	631
13	8	629
14	9	626
15	10	622
16	10	621
17	11	623
18	12	623
19	12	621
20	13	619
21	13	618
22	14	618
23	15	618
24	15	616
25	16	617
26	17	616
27	17	615
28	18	615
29	19	614
30	19	615
31	20	613
32	20	613
33	21	613
34	22	614
35	22	612
36	23	610
37	24	609
38	24	607
39	25	605
40	25	604
41	26	603
42	27	601
43	27	599
44	28	598
45	28	598
46	29	597
47	30	595
48	30	595
49	31	593
50	31	593
51	32	592
52	33	591
53	33	590
54	34	588
55	34	587
56	35	587
57	36	586
58	36	585
59	37	584
60	37	582
61	38	582
62	39	581
63	39	581
64	40	580
65	41	580
66	41	580
67	42	576
68	42	575
69	43	575
70	43	574
71	44	573
72	45	572
73	45	571
74	46	570
75	46	569
76	47	568
77	47	566
78	48	566
79	49	566
80	49	567
81	50	566
82	51	565
83	51	564
84	52	562
85	52	562
86	53	559
87	53	558
88	54	558
89	55	557
90	55	556
91	56	555
92	56	554
93	57	553
94	58	553
95	58	552
96	59	551
97	59	551
98	60	550
99	61	549
100	61	548
101	61	545
102	62	544
103	63	544
104	63	544
105	64	544
106	65	543
107	65	542
108	66	541
109	66	542
110	67	541
111	68	540
112	68	539
113	69	538
114	69	537
115	70	536
116	71	535
117	71	535
118	72	533
119	72	533
120	73	532
121	73	532
122	74	530
123	74	529
124	75	529
125	76	528
126	76	527
127	77	525
128	77	525
129	78	524
130	79	524
131	79	523
132	80	522
133	80	522
134	81	521
135	82	521
136	82	520
137	83	519
138	83	519
139	84	518
140	85	519
141	85	518
142	86	518
143	87	519
144	88	518
145	88	518
146	89	517
147	89	517
148	90	516
149	91	516
150	91	515
151	92	514
152	92	513
153	93	513
154	94	513
155	94	513
156	95	512
157	96	511
158	96	511
159	97	510
160	97	510
161	98	509
162	99	509
163	99	509
164	100	508
165	101	508
166	101	508
167	102	508
168	103	507
169	103	507
170	104	506
171	105	505
172	105	505
173	106	504
174	107	504
175	107	504
176	108	503
177	108	503
178	109	502
179	110	502
180	110	500
181	111	499
182	111	498
183	112	498
184	112	497
185	113	498
186	114	497
187	115	496
188	115	496
189	116	495
190	116	495
191	117	494
192	118	494
193	118	493
194	119	492
195	120	492
196	120	491
197	121	490
198	121	490
199	122	489
200	123	489
201	123	489
202	124	488
203	125	488
204	125	487
205	126	486
206	126	486
207	127	485
208	128	485
209	128	484
210	129	483
211	130	483
212	130	482
213	131	482
214	132	482
215	132	481
216	133	480
217	133	480
218	134	479
219	135	479
220	135	478
221	136	477
222	136	477
223	137	476
224	138	475
225	138	475
226	139	474
227	139	473
228	140	473
229	141	472
230	141	471
231	142	470
232	142	470
233	143	469
234	144	469
235	144	468
236	145	467
237	145	467
238	146	466
239	147	465
240	147	465
241	148	464
242	148	464
243	149	463
244	150	462
245	150	462
246	151	461
247	152	461
248	152	460
249	153	459
250	153	458
251	154	458
252	154	457
253	155	456
254	156	456
255	156	455
256	157	454
257	157	454
258	158	453
259	159	452
260	159	452
261	160	451
262	161	451
263	161	450
264	162	449
265	162	449
266	163	448
267	164	448
268	164	448
269	165	447
270	166	446
271	166	446
272	167	445
273	167	445
274	168	444
275	169	443
276	169	442
277	170	442
278	171	442
279	171	441
280	172	440
281	172	440
282	173	439
283	173	438
284	174	438
285	175	437
286	175	436
287	176	436
288	177	435
289	177	435
290	178	434
291	179	434
292	179	433
293	180	432
294	180	432
295	181	431
296	182	431
297	182	430
298	183	430
299	184	429
300	184	428
301	185	428
302	185	427
303	186	427
304	187	427
305	188	426
306	188	426
307	189	425
308	189	424
309	190	424
310	191	423
311	192	423
312	192	423
313	193	422
314	193	421
315	194	421
316	195	420
317	195	419
318	196	419
319	197	418
320	197	418
321	198	417
322	198	416
323	199	416
324	200	415
325	201	415
326	201	415
327	202	414
328	203	414
329	203	413
330	204	413
331	204	412
332	205	411
333	206	411
334	206	410
335	207	410
336	208	409
337	208	408
338	209	408
339	209	407
340	210	406
341	211	406
342	212	406
343	212	406
344	213	405
345	214	405
346	215	404
347	216	404
348	216	404
349	217	403
350	218	403
351	219	403
352	219	402
353	220	402
354	221	402
355	222	401
356	222	401
357	223	401
358	224	400
359	225	400
360	225	399
361	227	400
362	231	406
363	232	406
364	233	405
365	233	405
366	234	404
367	235	404
368	236	404
369	237	403
370	237	403
371	238	402
372	239	402
373	240	402
374	240	401
375	241	401
376	242	400
377	243	400
378	244	399
379	244	399
380	245	398
381	246	398
382	246	397
383	247	397
384	248	396
385	249	396
386	249	395
387	250	395
388	251	394
389	252	394
390	252	393
391	253	393
392	254	392
393	254	391
394	255	391
395	255	390
396	256	389
397	257	389
398	258	388
399	258	388
400	259	387
401	260	387
402	261	386
403	261	386
404	262	385
405	263	385
406	264	384
407	264	384
408	265	383
409	266	383
410	266	382
411	267	381
412	268	381
413	268	380
414	269	380
415	270	379
416	271	378
417	271	378
418	272	377
419	273	377
420	274	377
421	275	376
422	275	376
423	276	375
424	277	375
425	278	375
426	279	374
427	279	374
428	280	373
429	281	373
430	282	372
431	282	372
432	283	371
433	284	371
434	285	370
435	285	369
436	286	369
437	287	368
438	288	368
439	288	367
440	289	367
441	290	366
442	290	365
443	291	365
444	292	364
445	292	363
446	293	363
447	294	362
448	294	361
449	295	361
450	295	360
451	296	359
452	297	358
453	297	358
454	298	357
455	299	357
456	300	357
457	301	356
458	302	355
459	302	355
460	303	354
461	304	354
462	304	353
463	305	353
464	306	352
465	307	351
466	307	351
467	308	350
468	309	350
469	309	349
470	310	348
471	311	348
472	312	347
473	312	347
474	313	346
475	314	346
476	315	345
477	316	345
478	316	344
479	317	344
480	318	343
481	318	342
482	319	342
483	320	341
484	320	340
485	321	339
486	322	339
487	322	338
488	323	337
489	323	337
490	324	336
491	325	335
492	325	334
493	326	334
494	326	333
495	327	332
496	327	331
497	328	331
498	329	330
499	329	329
500	330	329
501	330	328
502	331	327
503	332	326
504	332	326
505	333	325
506	333	324
507	334	323
508	335	323
509	335	322
510	336	321
511	336	320
512	337	320
513	337	319
514	338	318
515	339	318
516	339	317
517	340	316
518	340	315
519	341	315
520	342	314
521	342	313
522	343	313
523	343	312
524	344	311
525	345	310
526	345	310
527	346	309
528	346	308
529	347	308
530	347	307
531	348	306
532	349	305
533	349	305
534	350	304
535	351	303
536	352	303
537	352	303
538	353	302
539	354	301
540	355	301
541	355	300
542	356	299
543	357	299
544	357	298
545	358	298
546	359	297
547	360	297
548	360	296
549	361	295
550	362	295
551	362	294
552	363	293
553	364	293
554	364	292
555	365	291
556	365	291
557	366	290
558	367	289
559	367	288
560	368	288
561	368	287
562	369	286
563	370	286
564	370	285
565	371	284
566	372	284
567	372	283
568	373	282
569	373	282
570	374	281
571	375	280
572	375	279
573	376	279
574	376	278
575	377	277
576	378	277
577	378	276
578	379	275
579	380	275
580	380	274
581	381	273
582	381	273
583	382	272
584	383	271
585	383	271
586	384	270
587	384	269
588	385	268
589	386	268
590	386	267
591	387	266
592	387	266
593	388	265
594	389	264
595	389	264
596	390	263
597	390	262
598	391	262
599	392	261
600	392	260
601	393	260
602	394	259
603	394	258
604	395	258
605	396	257
606	396	256
607	397	256
608	398	255
609	398	254
610	399	254
611	399	253
612	400	252
613	401	252
614	401	251
615	402	250
616	402	250
617	403	249
618	404	248
619	404	248
620	405	247
621	405	246
622	406	246
623	407	245
624	407	244
625	408	244
626	409	243
627	409	242
628	410	241
629	410	241
630	411	240
631	412	239
632	412	239
633	413	238
634	413	237
635	414	237
636	415	236
637	415	235
638	416	235
639	416	234
640	417	233
641	418	233
642	418	232
643	419	231
644	419	231
645	420	230
646	420	229
647	421	229
648	422	228
649	422	227
650	423	227
651	424	226
652	424	225
653	425	224
654	425	224
655	426	223
656	427	223
657	427	222
658	428	221
659	429	221
660	429	220
661	430	219
662	430	219
663	431	218
664	432	217
665	432	217
666	433	216
667	434	215
668	434	215
669	435	214
670	435	213
671	436	213
672	437	212
673	437	211
674	438	211
675	439	210
676	439	209
677	440	209
678	441	208
679	441	207
680	442	207
681	442	206
682	443	205
683	444	205
684	444	204
685	445	203
686	445	203
687	446	202
688	447	201
689	447	201
690	448	200
691	448	199
692	449	199
693	450	198
694	450	197
695	451	197
696	452	196
697	452	195
698	453	195
699	453	194
700	454	193
701	455	193
702	455	192
703	456	191
704	457	191
705	457	190
706	458	189
707	458	189
708	459	188
709	459	187
710	460	187
711	461	186
712	461	185
713	462	185
714	462	184
715	463	183
716	464	183
717	464	182
718	465	181
719	465	181
720	466	180
721	467	179
722	467	179
723	468	178
724	468	177
725	469	177
726	470	176
727	470	175
728	471	175
729	471	174
730	472	173
731	473	173
732	473	172
733	474	171
734	474	171
735	475	170
736	476	169
737	476	169
738	477	168
739	477	167
740	478	167
741	479	166
742	479	165
743	480	165
744	481	164
745	481	164
746	482	163
747	482	162
748	483	162
749	484	161
750	484	160
751	485	160
752	486	159
753	486	158
754	487	158
755	487	157
756	488	156
757	488	156
758	489	155
759	490	154
760	490	154
761	491	153
762	492	152
763	492	152
764	493	151
765	495	151
766	496	150
767	496	150
768	497	149
769	498	148
770	498	148
771	499	147
772	500	146
773	500	146
774	501	145
775	501	144
776	502	144
777	503	143
778	503	142
779	504	142
780	504	141
781	505	140
782	506	140
783	507	139
784	508	139
785	508	138
786	509	137
787	510	137
788	510	136
789	511	135
790	511	135
791	512	134
792	513	133
793	513	133
794	514	132
795	515	132
796	515	131
797	516	130
798	517	130
799	517	129
800	518	128
801	518	128
802	519	127
803	520	126
804	520	126
805	521	125
806	521	124
807	522	124
808	522	123
809	523	122
810	524	122
811	524	121
812	525	120
813	525	120
814	526	119
815	527	118
816	527	118
817	528	117
818	528	116
819	529	116
820	530	115
821	530	114
822	531	114
823	532	113
824	532	113
825	533	112
826	534	111
827	534	111
