iter	Passed	Remaining
0	127	127203
1	131	65660
2	134	44679
3	138	34502
4	146	29147
5	153	25466
6	161	22969
7	165	20498
8	167	18403
9	170	16832
10	171	15460
11	178	14733
12	184	13980
13	187	13172
14	189	12472
15	192	11808
16	193	11176
17	195	10680
18	197	10203
19	201	9856
20	210	9829
21	214	9545
22	217	9242
23	220	8960
24	224	8738
25	229	8588
26	233	8397
27	241	8366
28	247	8300
29	251	8147
30	253	7923
31	257	7781
32	260	7627
33	262	7447
34	263	7266
35	265	7104
36	268	6995
37	276	7006
38	280	6918
39	282	6782
40	283	6638
41	285	6519
42	292	6505
43	293	6379
44	295	6263
45	296	6138
46	297	6027
47	298	5918
48	306	5940
49	309	5878
50	313	5835
51	316	5767
52	322	5759
53	328	5759
54	330	5684
55	334	5634
56	342	5664
57	343	5586
58	345	5513
59	349	5475
60	354	5460
61	357	5404
62	358	5332
63	359	5260
64	360	5191
65	361	5122
66	362	5054
67	364	4989
68	365	4930
69	367	4876
70	367	4813
71	368	4752
72	369	4696
73	370	4641
74	372	4590
75	373	4538
76	374	4486
77	377	4466
78	381	4444
79	383	4415
80	386	4389
81	390	4366
82	390	4317
83	393	4292
84	394	4250
85	395	4207
86	397	4167
87	398	4129
88	400	4094
89	402	4074
90	405	4054
91	407	4026
92	409	3990
93	411	3963
94	412	3930
95	413	3897
96	415	3864
97	416	3834
98	417	3801
99	419	3771
100	419	3737
101	420	3705
102	421	3674
103	422	3644
104	424	3615
105	425	3586
106	426	3558
107	427	3530
108	430	3518
109	434	3518
110	452	3624
111	456	3618
112	458	3599
113	459	3573
114	461	3550
115	464	3537
116	475	3586
117	478	3573
118	481	3562
119	482	3541
120	485	3524
121	486	3500
122	487	3475
123	488	3452
124	493	3454
125	494	3431
126	496	3410
127	497	3391
128	499	3371
129	500	3350
130	503	3341
131	510	3357
132	514	3351
133	517	3344
134	519	3327
135	524	3329
136	527	3325
137	529	3307
138	532	3296
139	533	3279
140	535	3261
141	536	3238
142	537	3223
143	539	3204
144	540	3185
145	541	3166
146	542	3149
147	546	3145
148	547	3127
149	549	3112
150	558	3140
151	560	3126
152	568	3149
153	570	3135
154	571	3116
155	573	3100
156	574	3084
157	575	3067
158	577	3055
159	581	3054
160	582	3036
161	587	3038
162	596	3062
163	600	3059
164	605	3064
165	614	3085
166	627	3128
167	630	3123
168	632	3112
169	634	3099
170	640	3102
171	643	3096
172	645	3084
173	646	3068
174	648	3057
175	649	3042
176	651	3027
177	652	3013
178	654	3000
179	655	2985
180	657	2974
181	658	2960
182	662	2956
183	666	2955
184	668	2946
185	670	2933
186	671	2919
187	672	2905
188	674	2894
189	676	2882
190	677	2869
191	679	2859
192	681	2850
193	683	2838
194	684	2826
195	686	2817
196	688	2805
197	689	2793
198	692	2788
199	695	2780
200	697	2773
201	701	2771
202	703	2760
203	706	2758
204	709	2753
205	711	2743
206	712	2730
207	714	2720
208	715	2707
209	716	2695
210	717	2684
211	719	2672
212	720	2660
213	721	2650
214	722	2638
215	723	2627
216	724	2615
217	725	2603
218	726	2591
219	727	2579
220	728	2568
221	729	2557
222	730	2546
223	731	2535
224	733	2526
225	734	2514
226	735	2504
227	736	2494
228	737	2484
229	741	2482
230	742	2473
231	744	2463
232	746	2458
233	748	2449
234	749	2440
235	751	2433
236	753	2426
237	756	2422
238	761	2424
239	763	2418
240	765	2410
241	767	2403
242	768	2395
243	772	2392
244	774	2388
245	776	2381
246	778	2373
247	781	2369
248	782	2361
249	784	2353
250	786	2346
251	787	2337
252	788	2329
253	790	2321
254	791	2312
255	792	2303
256	793	2295
257	795	2286
258	796	2278
259	801	2280
260	805	2279
261	809	2279
262	811	2273
263	812	2265
264	815	2261
265	817	2256
266	819	2248
267	821	2244
268	823	2238
269	825	2231
270	827	2226
271	830	2224
272	832	2217
273	833	2208
274	834	2200
275	837	2197
276	840	2195
277	842	2187
278	843	2179
279	844	2172
280	847	2168
281	850	2164
282	854	2165
283	856	2158
284	859	2156
285	863	2156
286	865	2151
287	868	2146
288	870	2142
289	872	2135
290	875	2132
291	883	2142
292	885	2136
293	886	2129
294	889	2125
295	899	2139
296	907	2148
297	908	2141
298	910	2135
299	912	2129
300	913	2122
301	915	2115
302	916	2107
303	917	2101
304	919	2094
305	920	2087
306	921	2080
307	922	2073
308	923	2065
309	925	2058
310	925	2051
311	927	2044
312	929	2039
313	930	2032
314	931	2025
315	932	2018
316	933	2011
317	934	2004
318	936	1999
319	938	1994
320	939	1987
321	940	1980
322	942	1974
323	943	1967
324	943	1960
325	944	1953
326	946	1948
327	948	1943
328	949	1936
329	950	1929
330	951	1923
331	952	1916
332	954	1910
333	955	1904
334	956	1898
335	957	1891
336	958	1885
337	961	1883
338	964	1880
339	970	1884
340	973	1882
341	975	1876
342	977	1871
343	978	1865
344	979	1860
345	981	1854
346	981	1847
347	982	1841
348	984	1836
349	985	1830
350	986	1824
351	987	1818
352	989	1813
353	992	1810
354	995	1808
355	998	1806
356	1001	1803
357	1005	1803
358	1007	1798
359	1013	1801
360	1017	1800
361	1021	1799
362	1023	1795
363	1024	1790
364	1025	1784
365	1026	1778
366	1028	1773
367	1029	1767
368	1030	1761
369	1031	1756
370	1032	1750
371	1033	1744
372	1034	1739
373	1035	1733
374	1036	1727
375	1038	1723
376	1040	1719
377	1042	1715
378	1044	1711
379	1046	1707
380	1048	1703
381	1049	1697
382	1050	1692
383	1051	1686
384	1053	1682
385	1055	1678
386	1058	1676
387	1061	1673
388	1061	1668
389	1063	1663
390	1065	1659
391	1066	1654
392	1067	1649
393	1071	1647
394	1072	1642
395	1073	1637
396	1074	1631
397	1075	1626
398	1076	1620
399	1076	1615
400	1077	1610
401	1078	1604
402	1079	1599
403	1080	1594
404	1093	1605
405	1093	1600
406	1094	1595
407	1095	1590
408	1100	1590
409	1103	1587
410	1104	1582
411	1105	1578
412	1107	1573
413	1108	1569
414	1109	1563
415	1110	1558
416	1111	1553
417	1114	1552
418	1116	1548
419	1117	1543
420	1118	1538
421	1120	1534
422	1122	1530
423	1123	1525
424	1123	1520
425	1124	1515
426	1125	1510
427	1126	1505
428	1127	1501
429	1128	1496
430	1129	1491
431	1130	1486
432	1131	1481
433	1132	1476
434	1133	1472
435	1134	1468
436	1135	1463
437	1136	1458
438	1137	1453
439	1138	1449
440	1142	1448
441	1143	1443
442	1144	1438
443	1145	1434
444	1146	1430
445	1147	1425
